time;PVS;PVG;PVC
04/01/2022;26780;14051,60;13017,50
05/01/2022;26780;14051,60;12639,10
06/01/2022;26870;13954,00;12714,70
07/01/2022;27540;14149,20;13017,50
10/01/2022;26400;13856,40;12487,70
11/01/2022;26120;13563,70;12109,30
12/01/2022;27070;13466,10;12866,10
13/01/2022;26120;13466,10;12109,30
14/01/2022;26500;13368,50;12109,30
17/01/2022;26590;12100,00;11806,50
18/01/2022;27440;10929,00;11352,40
19/01/2022;27260;11514,50;11428,10
20/01/2022;27070;11709,70;11730,90
21/01/2022;28010;11904,80;12412,00
24/01/2022;27540;11221,80;12033,60
25/01/2022;27160;11221,80;12109,30
26/01/2022;26970;11124,20;12033,60
27/01/2022;27440;11026,60;12033,60
28/01/2022;25730;11124,20;10898,30
07/02/2022;27440;12197,60;11503,80
08/02/2022;27260;12002,40;11428,10
09/02/2022;26780;12100,00;11201,10
10/02/2022;27260;12295,20;11352,40
11/02/2022;27540;12490,30;11730,90
14/02/2022;28300;13661,30;12033,60
15/02/2022;27830;13563,70;11806,50
16/02/2022;27730;13173,40;11655,20
17/02/2022;27730;13173,40;11579,50
18/02/2022;27540;12978,20;11503,80
21/02/2022;27640;13368,50;11503,80
22/02/2022;28680;14149,20;12260,60
23/02/2022;31530;14929,80;13471,60
24/02/2022;33050;15515,30;14758,20
25/02/2022;32100;14734,70;15136,60
28/02/2022;33140;15027,40;16650,30
01/03/2022;33240;15222,60;17104,40
02/03/2022;35420;15417,70;18769,40
03/03/2022;35420;16588,70;20585,80
04/03/2022;34280;16003,20;20283,00
07/03/2022;36660;17564,50;22250,80
08/03/2022;36090;17076,60;23688,80
09/03/2022;37410;18735,50;26034,90
10/03/2022;36280;18052,40;24824,00
11/03/2022;35040;17076,60;22402,20
14/03/2022;33050;15417,70;20207,40
15/03/2022;33430;15222,60;22175,10
16/03/2022;33140;15027,40;21948,10
17/03/2022;32290;14441,90;20434,40
18/03/2022;33050;14734,70;20812,80
21/03/2022;33330;14734,70;20812,80
22/03/2022;34100;15125,00;22856,30
23/03/2022;33430;15027,40;21796,70
24/03/2022;33530;15125,00;22402,20
25/03/2022;32759;15125,00;21872,40
28/03/2022;34280;15027,40;22704,90
29/03/2022;35330;15027,40;24369,90
30/03/2022;33900;14637,10;23613,10
31/03/2022;32960;14441,90;22326,50
01/04/2022;31910;14051,60;20812,80
04/04/2022;32580;14441,90;21191,20
05/04/2022;32580;14929,80;21191,20
06/04/2022;32759;15905,60;20283,00
07/04/2022;33050;15808,10;19601,90
08/04/2022;31810;15027,40;17709,80
12/04/2022;28680;14149,20;15969,10
13/04/2022;29630;14246,80;16120,50
14/04/2022;29730;15612,90;17709,80
15/04/2022;29250;15612,90;18012,50
18/04/2022;28490;16100,80;17482,80
19/04/2022;28490;16003,20;18163,90
20/04/2022;25930;14441,90;16347,50
21/04/2022;23360;13075,80;14758,20
22/04/2022;22510;11807,30;13320,20
25/04/2022;20410;10636,30;12260,60
26/04/2022;22420;11612,10;13471,60
27/04/2022;22790;12002,40;14152,70
28/04/2022;22320;11612,10;13850,00
29/04/2022;23360;11807,30;15212,30
04/05/2022;24310;12100,00;15969,10
05/05/2022;24600;11904,80;16044,80
06/05/2022;22990;11416,90;14531,10
09/05/2022;20900;10343,50;13093,20
10/05/2022;22990;10733,90;14379,80
11/05/2022;23740;10246,00;15288,00
12/05/2022;21370;9367,70;13774,30
13/05/2022;21940;8489,50;13925,70
16/05/2022;24120;9075,00;15288,00
17/05/2022;26220;9953,20;16801,60
18/05/2022;25550;9758,10;16196,20
19/05/2022;26870;10050,80;17407,10
20/05/2022;26120;10343,50;16801,60
23/05/2022;26500;10246,00;17104,40
24/05/2022;26400;10050,80;17028,70
25/05/2022;27730;10636,30;17861,20
26/05/2022;26970;10636,30;17407,10
27/05/2022;26780;11124,20;17104,40
30/05/2022;27540;11221,80;18315,30
31/05/2022;29160;11904,80;19147,80
01/06/2022;30300;12100,00;19526,20
02/06/2022;29350;11600,00;18769,40
03/06/2022;29630;11400,00;18845,10
06/06/2022;29920;11800,00;19072,10
07/06/2022;31340;12100,00;19677,60
08/06/2022;30390;13300,00;19147,80
09/06/2022;30580;13300,00;19147,80
10/06/2022;28210;12300,00;17407,10
13/06/2022;25830;11100,00;15666,40
14/06/2022;28390;11500,00;16801,60
15/06/2022;28210;10900,00;16044,80
16/06/2022;29060;11000,00;16044,80
17/06/2022;28880;10300,00;15363,60
20/06/2022;26020;9400,00;13850,00
21/06/2022;23460;9600,00;12487,70
22/06/2022;21370;9400,00;11730,90
23/06/2022;23460;10100,00;12866,10
24/06/2022;22790;10100,00;12866,10
27/06/2022;23360;10100,00;13244,50
28/06/2022;24120;10200,00;13395,90
29/06/2022;23740;10000,00;13093,20
30/06/2022;22700;10000,00;12185,00
01/07/2022;23270;10100,00;13168,80
04/07/2022;23560;10100,00;13244,50
05/07/2022;22790;10000,00;12714,70
06/07/2022;21180;9000,00;11655,20
07/07/2022;20900;9200,00;11201,10
08/07/2022;21550;9400,00;11806,50
11/07/2022;21470;9500,00;11655,20
12/07/2022;22990;9800,00;12563,40
13/07/2022;22510;9900,00;12260,60
14/07/2022;22510;10000,00;12563,40
15/07/2022;22030;9900,00;12487,70
18/07/2022;22030;10000,00;12714,70
19/07/2022;22510;10100,00;12941,80
20/07/2022;22700;10200,00;12866,10
21/07/2022;22510;10100,00;12714,70
22/07/2022;22420;10400,00;12790,40
25/07/2022;21370;9900,00;12260,60
26/07/2022;21650;9900,00;12109,30
27/07/2022;21650;10000,00;11957,90
28/07/2022;22130;10100,00;12487,70
29/07/2022;21850;10000,00;12412,00
01/08/2022;22320;10100,00;12714,70
02/08/2022;22890;10100,00;12866,10
03/08/2022;23070;10300,00;12941,80
04/08/2022;22420;10200,00;13093,20
05/08/2022;22990;10500,00;13395,90
08/08/2022;23740;10600,00;13925,70
09/08/2022;23360;10600,00;13698,60
10/08/2022;24030;10600,00;13925,70
11/08/2022;24500;10400,00;14001,30
12/08/2022;24780;10400,00;14152,70
15/08/2022;24980;10500,00;14228,40
16/08/2022;24500;10400,00;14001,30
17/08/2022;24210;10600,00;13622,90
18/08/2022;24500;10500,00;13622,90
19/08/2022;25550;10500,00;14001,30
22/08/2022;25360;10600,00;14001,30
23/08/2022;26400;11600,00;15363,60
24/08/2022;26500;11900,00;16271,80
25/08/2022;26120;12300,00;16044,80
26/08/2022;25650;11900,00;15893,40
29/08/2022;27540;12500,00;17482,80
30/08/2022;26970;12500,00;17104,40
31/08/2022;26400;11900,00;16877,30
05/09/2022;26970;11700,00;17331,40
06/09/2022;26690;12100,00;16650,30
07/09/2022;24410;10900,00;14985,20
08/09/2022;23840;10700,00;14985,20
09/09/2022;25450;11000,00;16347,50
12/09/2022;25450;11200,00;16423,20
13/09/2022;26020;11500,00;17028,70
14/09/2022;26400;11400,00;17104,40
15/09/2022;26020;11700,00;16498,90
16/09/2022;25450;11100,00;16044,80
19/09/2022;23740;10400,00;14606,80
20/09/2022;24690;10700,00;15439,30
21/09/2022;25070;10500,00;15590,70
22/09/2022;24980;10700,00;15515,00
23/09/2022;24980;10900,00;15742,10
26/09/2022;23460;10800,00;14455,40
27/09/2022;23060;10900,00;14379,80
28/09/2022;22380;10500,00;14304,10
29/09/2022;22080;10000,00;13244,50
30/09/2022;22770;10100,00;13622,90
03/10/2022;21000;9200,00;12260,60
04/10/2022;21490;9200,00;12260,60
05/10/2022;22570;9500,00;13017,50
06/10/2022;21790;9200,00;12639,10
07/10/2022;22380;9000,00;13168,80
10/10/2022;23650;9200,00;14152,70
11/10/2022;21400;9200,00;12790,40
12/10/2022;22380;9400,00;13471,60
13/10/2022;22380;9100,00;13395,90
14/10/2022;22870;9000,00;13698,60
17/10/2022;23650;9100,00;14379,80
18/10/2022;23260;9200,00;14152,70
19/10/2022;23160;9100,00;13925,70
20/10/2022;23260;9000,00;13850,00
21/10/2022;21590;8500,00;12563,40
24/10/2022;20320;7700,00;11352,40
25/10/2022;20810;7700,00;11655,20
26/10/2022;20610;7300,00;11276,80
27/10/2022;22180;7700,00;11882,20
28/10/2022;21690;7700,00;11579,50
31/10/2022;21000;7500,00;10898,30
01/11/2022;21100;7500,00;10747,00
02/11/2022;22280;7600,00;11579,50
03/11/2022;21790;7500,00;11276,80
04/11/2022;20910;7100,00;10747,00
07/11/2022;21200;6800,00;9990,20
08/11/2022;22570;6900,00;10217,20
09/11/2022;22770;7000,00;10217,20
10/11/2022;21100;6300,00;9233,30
11/11/2022;21490;6200,00;8325,10
14/11/2022;19630;6000,00;7492,60
15/11/2022;17670;5500,00;6811,50
16/11/2022;18840;6000,00;7492,60
17/11/2022;18750;6600,00;7568,30
18/11/2022;18650;6600,00;7189,90
21/11/2022;18260;6700,00;7492,60
22/11/2022;18940;7000,00;8173,80
23/11/2022;18750;7000,00;7795,30
24/11/2022;18550;6900,00;7416,90
25/11/2022;19040;7100,00;8022,40
28/11/2022;19630;7800,00;8627,90
29/11/2022;20710;7800,00;9460,40
30/11/2022;20810;7900,00;9914,50
01/12/2022;20410;7800,00;9082,00
02/12/2022;22380;8300,00;9990,20
05/12/2022;22970;8200,00;10519,90
06/12/2022;22970;7400,00;9990,20
07/12/2022;23060;7300,00;9936,20
08/12/2022;23060;7600,00;10013,30
09/12/2022;22570;7400,00;9936,20
12/12/2022;21790;7300,00;9551,10
13/12/2022;22380;7300,00;9859,20
14/12/2022;22970;7500,00;10167,30
15/12/2022;22870;7600,00;10398,40
16/12/2022;22670;7500,00;10398,40
19/12/2022;22080;7500,00;9859,20
20/12/2022;22080;7300,00;9397,10
21/12/2022;21400;7300,00;9551,10
22/12/2022;21990;7300,00;9705,20
23/12/2022;21890;7200,00;9782,20
26/12/2022;21000;7100,00;9628,10
27/12/2022;21690;7200,00;9628,10
28/12/2022;21690;7000,00;9551,10
29/12/2022;21200;6900,00;9243,00
30/12/2022;21000;6800,00;9243,00
03/01/2023;21990;7000,00;9859,20
04/01/2023;22480;7100,00;10783,50
05/01/2023;22570;7100,00;10860,50
06/01/2023;22480;7300,00;10475,40
09/01/2023;22380;7100,00;10629,50
10/01/2023;22380;7200,00;10860,50
11/01/2023;22480;7200,00;10552,40
12/01/2023;23460;7400,00;11553,80
13/01/2023;22970;7400,00;11399,70
16/01/2023;22870;7200,00;11399,70
17/01/2023;23560;7300,00;11707,80
18/01/2023;24540;7300,00;11707,80
19/01/2023;24540;7400,00;11630,80
27/01/2023;24730;7600,00;11707,80
30/01/2023;24140;8000,00;11630,80
31/01/2023;25130;7900,00;12015,90
01/02/2023;23560;7900,00;10860,50
02/02/2023;23460;8000,00;10398,40
03/02/2023;23160;7900,00;10475,40
06/02/2023;23060;7900,00;10475,40
07/02/2023;22870;7700,00;10398,40
08/02/2023;23160;7800,00;10398,40
09/02/2023;23950;8000,00;11014,60
10/02/2023;23360;8000,00;10706,50
13/02/2023;23850;7800,00;10475,40
14/02/2023;23950;8100,00;10629,50
15/02/2023;24240;7900,00;10706,50
16/02/2023;25910;8000,00;11553,80
