time,open,high,low,close,volume,ticker
2022-01-04,26020,27260,25930,26780,11733700,PVS
2022-01-05,27350,27440,26780,26780,9954700,PVS
2022-01-06,26780,27350,26590,26870,7207100,PVS
2022-01-07,27160,27920,27070,27540,10552600,PVS
2022-01-10,27540,27730,26220,26400,8386000,PVS
2022-01-11,26300,26780,25830,26120,4353800,PVS
2022-01-12,26500,27920,26500,27070,11419300,PVS
2022-01-13,27540,27920,26120,26120,9051200,PVS
2022-01-14,26120,26780,25930,26500,4676300,PVS
2022-01-17,27070,27920,26300,26590,10587700,PVS
2022-01-18,27350,27830,26590,27440,11882400,PVS
2022-01-19,27640,28300,27070,27260,6899200,PVS
2022-01-20,27260,27640,26870,27070,5666400,PVS
2022-01-21,26970,28490,26590,28010,14829000,PVS
2022-01-24,28110,28780,27540,27540,10346700,PVS
2022-01-25,27350,27540,26400,27160,7024400,PVS
2022-01-26,27350,27830,26970,26970,5898800,PVS
2022-01-27,27540,27830,27160,27440,5278100,PVS
2022-01-28,27540,28010,25360,25730,15249400,PVS
2022-02-07,26590,27830,26590,27440,6845800,PVS
2022-02-08,27440,27830,27160,27260,4610000,PVS
2022-02-09,27070,27350,26690,26780,7964000,PVS
2022-02-10,26970,27440,26870,27260,5555200,PVS
2022-02-11,27350,28210,27350,27540,12729700,PVS
2022-02-14,27830,28880,27830,28300,14629800,PVS
2022-02-15,28300,28780,27730,27830,6312100,PVS
2022-02-16,27540,28010,27160,27730,9494400,PVS
2022-02-17,27640,28010,27440,27730,5424000,PVS
2022-02-18,27730,27920,27350,27540,6269100,PVS
2022-02-21,27640,28010,27540,27640,6243100,PVS
2022-02-22,27920,28960,27730,28680,17916500,PVS
2022-02-23,28680,31530,28680,31530,27924000,PVS
2022-02-24,31620,34380,31620,33050,23613700,PVS
2022-02-25,32290,33240,32009,32100,14923600,PVS
2022-02-28,32100,33810,32100,33140,14501400,PVS
2022-03-01,33240,33620,32390,33240,11532800,PVS
2022-03-02,34670,36370,34670,35420,14520600,PVS
2022-03-03,36090,36280,34850,35420,12650400,PVS
2022-03-04,35330,35330,34190,34280,15559800,PVS
2022-03-07,37700,37700,35240,36660,13982200,PVS
2022-03-08,36470,37130,35620,36090,13911900,PVS
2022-03-09,36190,39130,36090,37410,19311600,PVS
2022-03-10,36560,37040,34750,36280,14174000,PVS
2022-03-11,36280,36280,34280,35040,20755200,PVS
2022-03-14,34850,35040,33050,33050,18127400,PVS
2022-03-15,32580,33620,31150,33430,16408100,PVS
2022-03-16,33430,33620,32580,33140,5976300,PVS
2022-03-17,33140,33240,31910,32290,6120400,PVS
2022-03-18,33240,33710,32759,33050,8930300,PVS
2022-03-21,33620,33710,32860,33330,7428500,PVS
2022-03-22,33710,34950,33710,34100,11472900,PVS
2022-03-23,34380,34670,33430,33430,7407600,PVS
2022-03-24,33530,34670,33430,33530,9805300,PVS
2022-03-25,33530,33710,32759,32759,8234200,PVS
2022-03-28,32759,34280,32290,34280,11371400,PVS
2022-03-29,34280,35900,33710,35330,14964700,PVS
2022-03-30,35140,35330,33810,33900,8433100,PVS
2022-03-31,33710,34190,32960,32960,7653600,PVS
2022-04-01,32759,32759,31440,31910,13856700,PVS
