Date,Price,Log_return,2024_price,2024_LR
01/04/2022,14051.6,,9000,0
01/05/2022,14051.6,0,9000,0
01/06/2022,13954,-0.697006278,9100,1.104983619
01/07/2022,14149.2,1.389187987,9100,0
01/10/2022,13856.4,-2.091086562,9000,-1.104983619
01/11/2022,13563.7,-2.135011311,9000,0
01/12/2022,13466.1,-0.722169044,9100,1.104983619
1/13/2022,13466.1,0,9100,0
1/14/2022,13368.5,-0.727422286,9000,-1.104983619
1/17/2022,12100,-9.969574074,8900,-1.11733006
1/18/2022,10929,-10.17856459,,
1/19/2022,11514.5,5.218730401,,
1/20/2022,11709.7,1.681044745,,
1/21/2022,11904.8,1.652412198,,
1/24/2022,11221.8,-5.90833651,,
1/25/2022,11221.8,0,,
1/26/2022,11124.2,-0.873539968,,
1/27/2022,11026.6,-0.881237983,,
1/28/2022,11124.2,0.881237983,,
02/07/2022,12197.6,9.211629572,,
02/08/2022,12002.4,-1.613258128,,
02/09/2022,12100,0.809882281,,
02/10/2022,12295.2,1.600348971,,
02/11/2022,12490.3,1.574340075,,
2/14/2022,13661.3,8.961467492,,
2/15/2022,13563.7,-0.716991134,,
2/16/2022,13173.4,-2.919746172,,
2/17/2022,13173.4,0,,
2/18/2022,12978.2,-1.492861815,,
2/21/2022,13368.5,2.963016657,,
2/22/2022,14149.2,5.675689204,,
2/23/2022,14929.8,5.370113023,,
2/24/2022,15515.3,3.846741823,,
2/25/2022,14734.7,-5.162137755,,
2/28/2022,15027.4,1.966994515,,
03/01/2022,15222.6,1.290596426,,
03/02/2022,15417.7,1.273503437,,
03/03/2022,16588.7,7.32055406,,
03/04/2022,16003.2,-3.593303843,,
03/07/2022,17564.5,9.309111737,,
03/08/2022,17076.6,-2.81707143,,
03/09/2022,18735.5,9.271101459,,
03/10/2022,18052.4,-3.714147998,,
03/11/2022,17076.6,-5.556953462,,
3/14/2022,15417.7,-10.21929052,,
3/15/2022,15222.6,-1.273503437,,
3/16/2022,15027.4,-1.290596426,,
3/17/2022,14441.9,-3.974149769,,
3/18/2022,14734.7,2.007155254,,
3/21/2022,14734.7,0,,
3/22/2022,15125,2.614374762,,
3/23/2022,15027.4,-0.647380247,,
3/24/2022,15125,0.647380247,,
3/25/2022,15125,0,,
3/28/2022,15027.4,-0.647380247,,
3/29/2022,15027.4,0,,
3/30/2022,14637.1,-2.631579996,,
3/31/2022,14441.9,-1.342569772,,
04/01/2022,14051.6,-2.739743546,,
04/04/2022,14441.9,2.739743546,,
04/05/2022,14929.8,3.322551186,,
04/06/2022,15905.6,6.331203286,,
04/07/2022,15808.1,-0.614878158,,
04/08/2022,15027.4,-5.064726545,,
04/12/2022,14149.2,-6.021711605,,
4/13/2022,14246.8,0.68742347,,
4/14/2022,15612.9,9.156517553,,
4/15/2022,15612.9,0,,
4/18/2022,16100.8,3.077146458,,
4/19/2022,16003.2,-0.608025795,,
4/20/2022,14441.9,-10.26549985,,
4/21/2022,13075.8,-9.937051021,,
4/22/2022,11807.3,-10.20452093,,
4/25/2022,10636.3,-10.44453052,,
4/26/2022,11612.1,8.777497883,,
4/27/2022,12002.4,3.305897188,,
4/28/2022,11612.1,-3.305897188,,
4/29/2022,11807.3,1.667032635,,
05/04/2022,12100,2.448746834,,
05/05/2022,11904.8,-1.626377247,,
05/06/2022,11416.9,-4.184696635,,
05/09/2022,10343.5,-9.873641069,,
05/10/2022,10733.9,3.704865442,,
05/11/2022,10246,-4.6519572,,
05/12/2022,9367.7,-8.961978365,,
5/13/2022,8489.5,-9.84374961,,
5/16/2022,9075,6.669327438,,
5/17/2022,9953.2,9.237072736,,
5/18/2022,9758.1,-1.979639816,,
5/19/2022,10050.8,2.955452398,,
5/20/2022,10343.5,2.870606977,,
5/23/2022,10246,-0.947091758,,
5/24/2022,10050.8,-1.923515219,,
5/25/2022,10636.3,5.662044575,,
5/26/2022,10636.3,0,,
5/27/2022,11124.2,4.485023628,,
5/30/2022,11221.8,0.873539968,,
5/31/2022,11904.8,5.90833651,,
06/01/2022,12100,1.626377247,,
06/02/2022,11600,-4.220035449,,
06/03/2022,11400,-1.739174271,,
06/06/2022,11800,3.448617607,,
06/07/2022,12100,2.510592113,,
06/08/2022,13300,9.455858263,,
06/09/2022,13300,0,,
06/10/2022,12300,-7.816477285,,
6/13/2022,11100,-10.26541541,,
6/14/2022,11500,3.540192705,,
6/15/2022,10900,-5.358424613,,
6/16/2022,11000,0.913248356,,
6/17/2022,10300,-6.575137756,,
6/20/2022,9400,-9.143420596,,
6/21/2022,9600,2.10534092,,
6/22/2022,9400,-2.10534092,,
6/23/2022,10100,7.182573457,,
6/24/2022,10100,0,,
6/27/2022,10100,0,,
6/28/2022,10200,0.985229644,,
6/29/2022,10000,-1.98026273,,
6/30/2022,10000,0,,
07/01/2022,10100,0.995033085,,
07/04/2022,10100,0,,
07/05/2022,10000,-0.995033085,,
07/06/2022,9000,-10.53605157,,
07/07/2022,9200,2.197890672,,
07/08/2022,9400,2.150620522,,
07/11/2022,9500,1.058210933,,
07/12/2022,9800,3.109058707,,
7/13/2022,9900,1.015237146,,
7/14/2022,10000,1.005033585,,
7/15/2022,9900,-1.005033585,,
7/18/2022,10000,1.005033585,,
7/19/2022,10100,0.995033085,,
7/20/2022,10200,0.985229644,,
7/21/2022,10100,-0.985229644,,
7/22/2022,10400,2.92703823,,
7/25/2022,9900,-4.927104901,,
7/26/2022,9900,0,,
7/27/2022,10000,1.005033585,,
7/28/2022,10100,0.995033085,,
7/29/2022,10000,-0.995033085,,
08/01/2022,10100,0.995033085,,
08/02/2022,10100,0,,
08/03/2022,10300,1.960847139,,
08/04/2022,10200,-0.975617495,,
08/05/2022,10500,2.898753687,,
08/08/2022,10600,0.947874395,,
08/09/2022,10600,0,,
08/10/2022,10600,0,,
08/11/2022,10400,-1.904819497,,
08/12/2022,10400,0,,
8/15/2022,10500,0.956945102,,
8/16/2022,10400,-0.956945102,,
8/17/2022,10600,1.904819497,,
8/18/2022,10500,-0.947874395,,
8/19/2022,10500,0,,
8/22/2022,10600,0.947874395,,
8/23/2022,11600,9.015109699,,
8/24/2022,11900,2.553330201,,
8/25/2022,12300,3.306086226,,
8/26/2022,11900,-3.306086226,,
8/29/2022,12500,4.919024419,,
8/30/2022,12500,0,,
8/31/2022,11900,-4.919024419,,
09/05/2022,11700,-1.694955831,,
09/06/2022,12100,3.36166108,,
09/07/2022,10900,-10.44426634,,
09/08/2022,10700,-1.851904777,,
09/09/2022,11000,2.765153133,,
09/12/2022,11200,1.80185055,,
9/13/2022,11500,2.643325707,,
9/14/2022,11400,-0.873367997,,
9/15/2022,11700,2.59754864,,
9/16/2022,11100,-5.264373349,,
9/19/2022,10400,-6.513930217,,
9/20/2022,10700,2.843793532,,
9/21/2022,10500,-1.88684843,,
9/22/2022,10700,1.88684843,,
9/23/2022,10900,1.851904777,,
9/26/2022,10800,-0.92166551,,
9/27/2022,10900,0.92166551,,
9/28/2022,10500,-3.738753207,,
9/29/2022,10000,-4.879016417,,
9/30/2022,10100,0.995033085,,
